order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,region,product_id,category,sub_category,product_name,sales,quantity,profit,returns,payment_mode
CA-2019-160304,01/01/2019,07/01/2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",9099.93,14,8399.976,#N/A,Online
CA-2019-160304,02/01/2019,07/01/2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",5517.97,14,6719.981,#N/A,Online
CA-2019-160304,02/01/2019,07/01/2019,Standard Class,BM-11575,Brendan Murry,Corporate,United States,Gaithersburg,Maryland,East,TEC-PH-10000455,Technology,Phones,GE 30522EE2,5455.96,14,5039.986,#N/A,Cards
CA-2019-125206,03/01/2019,05/01/2019,First Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,5399.91,14,4946.37,#N/A,Online
US-2019-116365,03/01/2019,08/01/2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB,5234.96,14,3919.989,#N/A,Online
US-2019-116365,03/01/2019,08/01/2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive,5107.96,14,2799.984,#N/A,Online
US-2019-116365,03/01/2019,08/01/2019,Standard Class,CA-12310,Christine Abelman,Corporate,United States,San Antonio,Texas,Central,TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone,4912.59,14,2591.957,#N/A,Cards
CA-2019-105207,03/01/2019,08/01/2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4899.93,14,2504.222,#N/A,COD
CA-2019-105207,03/01/2019,08/01/2019,Standard Class,BO-11350,Bill Overfelt,Corporate,United States,Broken Arrow,Oklahoma,Central,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,4823.98,14,2400.966,#N/A,COD
US-2019-164630,04/01/2019,09/01/2019,Standard Class,EB-13975,Erica Bern,Corporate,United States,Charlotte,North Carolina,South,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,4749.95,14,2365.982,#N/A,Online
CA-2019-158211,04/01/2019,08/01/2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004078,Office Supplies,Art,Newell 312,4692.74,14,1906.485,#N/A,Online
CA-2019-158211,04/01/2019,08/01/2019,Standard Class,BP-11185,Ben Peterman,Corporate,United States,Philadelphia,Pennsylvania,East,OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders,4535.98,14,1668.205,#N/A,Online
CA-2019-134474,05/01/2019,07/01/2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse,4499.99,14,1644.291,#N/A,COD
CA-2019-134474,05/01/2019,07/01/2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,OFF-AR-10003958,Office Supplies,Art,Newell 337,4476.8,14,1459.2,#N/A,Online
CA-2019-134474,05/01/2019,07/01/2019,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Jacksonville,Florida,South,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",4439.17,14,1453.124,#N/A,COD
CA-2019-101938,07/01/2019,12/01/2019,Standard Class,DW-13480,Dianna Wilson,Home Office,United States,Oakland,California,West,OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,4395.9,13,1439.976,#N/A,COD
